                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0011,                  5.129,                 2.4298,                0.02667,                0.37464,                 0.0298,                 0.0163,                 1.6179,                 3.0961,                 1.3248,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5584,                 3.1047,                 1.2791,                0.19884,                0.49466,                0.24321,                0.14278,                 1.3792,                 2.0592,                 1.1642,              0.0066202,              0.0066202,              0.0066202
                      3,                 1.4449,                 2.3529,                  1.196,                0.51651,                0.74422,                0.62521,                0.35873,                 1.5217,                 1.4974,                 1.2084,              0.0098655,              0.0098655,              0.0098655
                      4,                 1.3905,                 1.6461,                  1.163,                0.92342,                0.93577,                0.98201,                0.65129,                  1.257,                0.76075,                 1.0963,               0.009802,               0.009802,               0.009802
                      5,                 1.3512,                 1.1823,                 1.1418,                 0.9773,                0.98335,                0.99385,                0.67463,                  1.229,                0.61994,                 1.0723,               0.009802,               0.009802,               0.009802
                      6,                 1.3301,                0.99261,                 1.1275,                0.98377,                0.98887,                0.99357,                0.65954,                 1.2762,                0.55953,                 1.0928,               0.009736,               0.009736,               0.009736
                      7,                 1.3125,                 0.8817,                 1.1158,                0.99251,                0.99356,                0.99468,                0.67582,                 1.2182,                0.52914,                 1.0634,                0.00967,                0.00967,                0.00967
                      8,                 1.2963,                0.81661,                 1.1104,                 0.9958,                 0.9975,                0.99494,                0.68494,                 1.2055,                0.48829,                  1.054,               0.009604,               0.009604,               0.009604
                      9,                  1.289,                0.77428,                 1.1039,                0.99548,                0.99677,                0.99493,                0.68998,                  1.195,                 0.4659,                 1.0436,               0.009538,               0.009538,               0.009538
                     10,                 1.2828,                0.74095,                 1.0998,                0.99728,                0.99782,                0.99492,                 0.7003,                 1.1586,                0.44805,                 1.0333,               0.009472,               0.009472,               0.009472
                     11,                 1.2766,                  0.716,                 1.0985,                0.99698,                 0.9985,                0.99499,                0.69729,                 1.1743,                0.44648,                 1.0342,               0.009406,               0.009406,               0.009406
                     12,                 1.2721,                0.70084,                 1.0946,                0.99854,                0.99914,                  0.995,                0.68042,                 1.2369,                0.45073,                 1.0508,                0.00934,                0.00934,                0.00934
                     13,                 1.2669,                0.68213,                 1.0903,                0.99813,                0.99889,                  0.995,                0.67942,                 1.2613,                0.44016,                 1.0628,               0.009274,               0.009274,               0.009274
                     14,                 1.2649,                0.67057,                 1.0908,                0.99836,                0.99948,                0.99497,                0.69155,                 1.2143,                0.42588,                 1.0405,               0.009208,               0.009208,               0.009208
                     15,                 1.2635,                0.65963,                 1.0914,                0.99911,                0.99963,                  0.995,                0.68872,                 1.2402,                0.42448,                 1.0534,               0.009142,               0.009142,               0.009142
                     16,                 1.2568,                0.64762,                 1.0873,                0.99888,                0.99946,                  0.995,                0.69429,                 1.2021,                0.41519,                 1.0378,               0.009076,               0.009076,               0.009076
                     17,                 1.2494,                 0.6344,                 1.0861,                0.99896,                0.99945,                  0.995,                0.69591,                 1.2077,                0.40789,                  1.037,                0.00901,                0.00901,                0.00901
                     18,                 1.2466,                0.63136,                 1.0819,                0.99876,                0.99953,                  0.995,                0.69873,                 1.2108,                0.40678,                 1.0381,               0.008944,               0.008944,               0.008944
                     19,                 1.2469,                0.62173,                 1.0798,                0.99892,                0.99997,                  0.995,                0.70127,                 1.2069,                0.40311,                  1.039,               0.008878,               0.008878,               0.008878
                     20,                 1.2423,                0.61812,                 1.0813,                0.99885,                0.99969,                0.99499,                0.69071,                 1.2407,                0.40466,                  1.049,               0.008812,               0.008812,               0.008812
                     21,                 1.2416,                0.60925,                 1.0772,                0.99906,                 0.9999,                  0.995,                0.70033,                 1.2094,                0.39773,                 1.0361,               0.008746,               0.008746,               0.008746
                     22,                 1.2342,                0.60129,                 1.0752,                0.99874,                0.99945,                  0.995,                0.71101,                 1.1766,                0.38794,                 1.0243,                0.00868,                0.00868,                0.00868
                     23,                 1.2313,                0.59631,                 1.0742,                0.99922,                0.99985,                  0.995,                0.71522,                 1.1662,                0.38372,                 1.0187,               0.008614,               0.008614,               0.008614
                     24,                  1.229,                0.59451,                 1.0725,                0.99904,                0.99981,                  0.995,                0.72363,                 1.1301,                  0.377,                 1.0073,               0.008548,               0.008548,               0.008548
