                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.2268,                0.59056,                 1.0725,                 0.9991,                0.99985,                  0.995,                0.72712,                 1.1212,                0.37418,                 1.0038,               0.008482,               0.008482,               0.008482
                     26,                 1.2224,                0.58316,                 1.0699,                 0.9989,                0.99966,                  0.995,                0.72542,                  1.128,                0.37375,                 1.0068,               0.008416,               0.008416,               0.008416
                     27,                 1.2179,                0.57823,                  1.068,                0.99904,                0.99977,                  0.995,                 0.7395,                 1.0827,                 0.3633,                0.99103,                0.00835,                0.00835,                0.00835
                     28,                 1.2148,                0.57451,                 1.0689,                0.99887,                0.99955,                0.99498,                0.74236,                 1.0771,                0.36203,                0.99092,               0.008284,               0.008284,               0.008284
                     29,                 1.2129,                0.57225,                 1.0669,                0.99883,                0.99946,                0.99499,                0.75244,                 1.0342,                0.35462,                 0.9768,               0.008218,               0.008218,               0.008218
                     30,                 1.2085,                0.56786,                 1.0641,                0.99899,                0.99969,                  0.995,                0.75325,                 1.0312,                0.35388,                0.97599,               0.008152,               0.008152,               0.008152
                     31,                  1.207,                0.56556,                 1.0628,                0.99887,                0.99966,                0.99499,                0.76862,                0.97999,                0.34599,                0.96096,               0.008086,               0.008086,               0.008086
                     32,                 1.1928,                0.55706,                 1.0584,                0.99917,                0.99981,                  0.995,                0.77412,                0.95846,                0.33958,                0.95492,                0.00802,                0.00802,                0.00802
                     33,                 1.1878,                 0.5556,                 1.0551,                0.99913,                0.99976,                  0.995,                0.77769,                0.94237,                0.33726,                0.94936,               0.007954,               0.007954,               0.007954
                     34,                 1.1814,                 0.5499,                 1.0542,                0.99926,                0.99982,                  0.995,                0.77841,                0.94192,                0.33551,                0.94913,               0.007888,               0.007888,               0.007888
                     35,                 1.1779,                0.55024,                 1.0524,                0.99922,                0.99985,                  0.995,                0.78621,                0.91335,                0.33072,                0.94069,               0.007822,               0.007822,               0.007822
                     36,                 1.1761,                  0.548,                 1.0502,                0.99911,                0.99983,                  0.995,                0.79073,                0.89673,                  0.328,                0.93595,               0.007756,               0.007756,               0.007756
                     37,                 1.1731,                0.54613,                 1.0499,                0.99926,                0.99987,                  0.995,                0.79093,                0.89862,                0.32644,                0.93574,                0.00769,                0.00769,                0.00769
                     38,                 1.1668,                0.54373,                 1.0469,                0.99929,                 0.9999,                  0.995,                0.79225,                0.89164,                0.32513,                0.93295,               0.007624,               0.007624,               0.007624
                     39,                 1.1627,                 0.5365,                 1.0453,                0.99924,                0.99989,                  0.995,                0.79629,                0.87724,                0.32259,                 0.9288,               0.007558,               0.007558,               0.007558
                     40,                 1.1611,                0.53717,                 1.0449,                0.99926,                0.99985,                  0.995,                0.79834,                0.87183,                0.32147,                0.92715,               0.007492,               0.007492,               0.007492
                     41,                 1.1599,                  0.534,                 1.0446,                0.99927,                0.99982,                  0.995,                0.80076,                  0.864,                0.31963,                0.92467,               0.007426,               0.007426,               0.007426
                     42,                 1.1544,                0.53082,                 1.0436,                0.99929,                0.99983,                  0.995,                0.80159,                0.86138,                0.31867,                0.92357,                0.00736,                0.00736,                0.00736
                     43,                 1.1516,                 0.5281,                 1.0416,                0.99929,                0.99984,                  0.995,                0.80304,                0.85583,                0.31729,                0.92151,               0.007294,               0.007294,               0.007294
                     44,                 1.1533,                0.52901,                 1.0416,                0.99927,                0.99984,                  0.995,                0.80404,                0.85267,                0.31618,                0.92059,               0.007228,               0.007228,               0.007228
                     45,                 1.1489,                0.52628,                 1.0388,                0.99927,                0.99983,                  0.995,                0.80653,                0.84544,                 0.3144,                 0.9185,               0.007162,               0.007162,               0.007162
                     46,                 1.1484,                0.52197,                  1.038,                0.99929,                0.99983,                  0.995,                0.80825,                0.84097,                 0.3133,                0.91708,               0.007096,               0.007096,               0.007096
                     47,                 1.1452,                0.52064,                 1.0379,                0.99929,                0.99983,                  0.995,                0.80943,                 0.8377,                0.31244,                0.91615,                0.00703,                0.00703,                0.00703
                     48,                 1.1451,                0.51843,                  1.038,                 0.9993,                0.99984,                  0.995,                0.81025,                0.83367,                0.31155,                0.91492,               0.006964,               0.006964,               0.006964
                     49,                 1.1401,                0.51513,                 1.0358,                 0.9993,                0.99985,                  0.995,                0.81081,                0.83183,                0.31064,                0.91426,               0.006898,               0.006898,               0.006898
                     50,                 1.1265,                0.51664,                  1.031,                0.99931,                0.99986,                  0.995,                0.81167,                0.83048,                0.31006,                0.91364,               0.006832,               0.006832,               0.006832
                     51,                 1.0859,                0.51309,                 1.0168,                0.99932,                0.99986,                  0.995,                0.81241,                0.82854,                0.30952,                0.91268,               0.006766,               0.006766,               0.006766
                     52,                 1.0747,                0.50636,                 1.0128,                0.99935,                0.99987,                  0.995,                0.81337,                0.82539,                 0.3084,                0.91154,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.0679,                0.50375,                 1.0101,                0.99934,                0.99987,                  0.995,                0.81408,                0.82276,                 0.3076,                0.91044,               0.006634,               0.006634,               0.006634
                     54,                 1.0649,                0.50162,                 1.0092,                0.99933,                0.99987,                  0.995,                0.81516,                0.82004,                0.30677,                 0.9094,               0.006568,               0.006568,               0.006568
                     55,                 1.0628,                0.49906,                 1.0075,                0.99933,                0.99987,                  0.995,                 0.8156,                0.81791,                0.30603,                0.90863,               0.006502,               0.006502,               0.006502
                     56,                  1.059,                0.49851,                 1.0045,                0.99934,                0.99987,                  0.995,                0.81538,                0.81719,                0.30586,                0.90823,               0.006436,               0.006436,               0.006436
                     57,                 1.0559,                0.49497,                 1.0037,                0.99933,                0.99989,                  0.995,                0.81581,                0.81741,                0.30581,                0.90819,                0.00637,                0.00637,                0.00637
                     58,                 1.0558,                0.49693,                 1.0053,                0.99935,                 0.9999,                  0.995,                0.81621,                 0.8168,                0.30536,                0.90783,               0.006304,               0.006304,               0.006304
                     59,                 1.0547,                0.49462,                 1.0053,                0.99936,                 0.9999,                  0.995,                0.81641,                0.81678,                0.30521,                0.90768,               0.006238,               0.006238,               0.006238
                     60,                  1.051,                 0.4936,                 1.0031,                0.99936,                0.99991,                  0.995,                0.81664,                0.81542,                 0.3046,                0.90713,               0.006172,               0.006172,               0.006172
                     61,                 1.0445,                0.49096,                 1.0038,                0.99937,                0.99991,                  0.995,                0.81677,                0.81483,                 0.3043,                0.90686,               0.006106,               0.006106,               0.006106
                     62,                  1.045,                0.48719,                0.99935,                0.99937,                0.99991,                  0.995,                0.81713,                0.81443,                0.30396,                0.90655,                0.00604,                0.00604,                0.00604
                     63,                 1.0447,                0.48982,                0.99925,                0.99938,                0.99991,                  0.995,                0.81771,                 0.8133,                0.30368,                0.90621,               0.005974,               0.005974,               0.005974
                     64,                 1.0481,                0.48737,                 1.0013,                0.99938,                0.99991,                  0.995,                0.81792,                0.81343,                0.30331,                0.90616,               0.005908,               0.005908,               0.005908
                     65,                 1.0431,                0.48526,                 1.0001,                0.99937,                0.99992,                  0.995,                 0.8181,                0.81269,                0.30315,                0.90583,               0.005842,               0.005842,               0.005842
                     66,                 1.0394,                0.48244,                0.99752,                0.99937,                0.99992,                  0.995,                0.81827,                0.81199,                0.30275,                0.90547,               0.005776,               0.005776,               0.005776
                     67,                 1.0406,                0.48407,                0.99657,                0.99936,                0.99992,                  0.995,                0.81867,                0.81084,                0.30238,                0.90496,                0.00571,                0.00571,                0.00571
                     68,                 1.0357,                0.48239,                0.99848,                0.99937,                0.99992,                  0.995,                0.81928,                0.80966,                0.30223,                0.90449,               0.005644,               0.005644,               0.005644
                     69,                 1.0392,                0.48135,                0.99858,                0.99938,                0.99993,                  0.995,                0.81949,                0.80905,                0.30186,                0.90423,               0.005578,               0.005578,               0.005578
                     70,                 1.0328,                0.47908,                0.99621,                0.99937,                0.99994,                  0.995,                0.81963,                0.80879,                0.30162,                  0.904,               0.005512,               0.005512,               0.005512
                     71,                 1.0375,                0.48149,                0.99485,                0.99937,                0.99994,                  0.995,                0.81987,                0.80833,                 0.3018,                0.90376,               0.005446,               0.005446,               0.005446
                     72,                 1.0314,                0.47824,                 0.9945,                0.99937,                0.99994,                  0.995,                0.82019,                0.80706,                0.30134,                0.90324,                0.00538,                0.00538,                0.00538
                     73,                 1.0318,                0.47679,                0.99384,                0.99939,                0.99994,                  0.995,                0.82058,                 0.8054,                0.30123,                0.90256,               0.005314,               0.005314,               0.005314
                     74,                 1.0295,                0.47314,                0.99451,                0.99939,                0.99995,                  0.995,                0.82148,                 0.8043,                0.30096,                0.90213,               0.005248,               0.005248,               0.005248
                     75,                 1.0277,                0.47395,                0.98996,                0.99938,                0.99995,                  0.995,                0.82203,                0.80321,                0.30073,                0.90156,               0.005182,               0.005182,               0.005182
                     76,                 1.0296,                0.47421,                0.99532,                0.99936,                0.99996,                  0.995,                0.82236,                0.80091,                0.30048,                0.90085,               0.005116,               0.005116,               0.005116
                     77,                 1.0274,                0.47311,                0.99165,                0.99937,                0.99997,                  0.995,                0.82284,                0.79947,                0.30011,                 0.9003,                0.00505,                0.00505,                0.00505
                     78,                 1.0227,                0.47005,                0.98862,                0.99936,                      1,                  0.995,                0.82321,                0.79827,                 0.2998,                0.89975,               0.004984,               0.004984,               0.004984
                     79,                 1.0255,                0.46995,                0.99184,                0.99936,                      1,                  0.995,                 0.8238,                0.79636,                0.29954,                0.89918,               0.004918,               0.004918,               0.004918
                     80,                 1.0241,                0.47087,                0.99168,                0.99936,                      1,                  0.995,                0.82469,                0.79465,                0.29922,                0.89855,               0.004852,               0.004852,               0.004852
                     81,                 1.0218,                0.46849,                  0.991,                0.99935,                      1,                  0.995,                0.82499,                0.79364,                0.29927,                0.89805,               0.004786,               0.004786,               0.004786
                     82,                 1.0161,                0.46619,                0.98917,                0.99935,                      1,                  0.995,                 0.8255,                0.79211,                0.29873,                0.89757,                0.00472,                0.00472,                0.00472
                     83,                 1.0239,                0.46967,                0.99076,                0.99935,                      1,                  0.995,                0.82568,                 0.7907,                0.29853,                0.89706,               0.004654,               0.004654,               0.004654
                     84,                 1.0158,                 0.4643,                0.98824,                0.99934,                      1,                  0.995,                0.82593,                0.78992,                0.29827,                 0.8967,               0.004588,               0.004588,               0.004588
                     85,                 1.0176,                0.46605,                0.98779,                0.99935,                      1,                  0.995,                0.82616,                0.78883,                0.29805,                0.89635,               0.004522,               0.004522,               0.004522
                     86,                 1.0174,                0.46417,                0.98726,                0.99934,                      1,                  0.995,                0.82685,                0.78739,                0.29815,                0.89583,               0.004456,               0.004456,               0.004456
                     87,                  1.015,                0.46168,                0.98751,                0.99933,                      1,                  0.995,                 0.8272,                0.78652,                0.29777,                0.89551,                0.00439,                0.00439,                0.00439
                     88,                  1.014,                0.46253,                0.98756,                0.99934,                      1,                  0.995,                0.82737,                0.78556,                0.29763,                0.89517,               0.004324,               0.004324,               0.004324
                     89,                 1.0151,                0.46316,                0.98721,                0.99935,                      1,                  0.995,                0.82762,                0.78489,                0.29756,                0.89494,               0.004258,               0.004258,               0.004258
                     90,                 1.0135,                 0.4611,                0.98488,                0.99933,                      1,                  0.995,                 0.8279,                 0.7839,                0.29734,                0.89458,               0.004192,               0.004192,               0.004192
                     91,                 1.0109,                0.45998,                0.98567,                0.99933,                      1,                  0.995,                0.82827,                0.78219,                0.29722,                0.89408,               0.004126,               0.004126,               0.004126
                     92,                 1.0088,                0.45665,                 0.9853,                0.99932,                      1,                  0.995,                0.82882,                0.78048,                0.29698,                 0.8936,                0.00406,                0.00406,                0.00406
                     93,                 1.0061,                 0.4555,                0.98361,                0.99932,                      1,                  0.995,                0.82896,                0.77928,                  0.297,                 0.8932,               0.003994,               0.003994,               0.003994
                     94,                 1.0097,                0.45681,                0.98564,                0.99931,                      1,                  0.995,                0.82923,                0.77806,                 0.2965,                0.89275,               0.003928,               0.003928,               0.003928
                     95,                 1.0049,                0.45324,                0.98438,                 0.9993,                      1,                  0.995,                 0.8297,                0.77701,                0.29631,                0.89233,               0.003862,               0.003862,               0.003862
                     96,                 1.0042,                0.45343,                0.98283,                0.99931,                      1,                  0.995,                0.83045,                0.77496,                0.29601,                0.89168,               0.003796,               0.003796,               0.003796
                     97,                  1.003,                0.45314,                0.98329,                0.99931,                      1,                  0.995,                0.83053,                0.77397,                0.29583,                0.89128,                0.00373,                0.00373,                0.00373
                     98,                 1.0032,                 0.4539,                 0.9822,                0.99932,                      1,                  0.995,                0.83092,                0.77278,                0.29573,                0.89089,               0.003664,               0.003664,               0.003664
                     99,                 1.0025,                 0.4508,                0.98246,                 0.9993,                      1,                  0.995,                0.83136,                0.77154,                 0.2953,                0.89045,               0.003598,               0.003598,               0.003598
                    100,                 1.0019,                0.45105,                0.98108,                0.99932,                      1,                  0.995,                0.83176,                0.77044,                0.29536,                0.89012,               0.003532,               0.003532,               0.003532
                    101,                0.99997,                0.45081,                0.98143,                0.99931,                      1,                  0.995,                0.83186,                0.76923,                0.29484,                0.88975,               0.003466,               0.003466,               0.003466
                    102,                 1.0023,                0.44958,                 0.9822,                0.99931,                      1,                  0.995,                0.83189,                0.76926,                0.29481,                0.88965,                 0.0034,                 0.0034,                 0.0034
                    103,                  1.001,                 0.4485,                0.98071,                0.99932,                      1,                  0.995,                0.83194,                0.76842,                0.29425,                0.88935,               0.003334,               0.003334,               0.003334
                    104,                0.99872,                 0.4493,                0.97976,                0.99931,                      1,                  0.995,                0.83262,                0.76771,                0.29429,                0.88907,               0.003268,               0.003268,               0.003268
                    105,                0.99916,                0.44331,                0.98145,                0.99931,                      1,                  0.995,                0.83266,                0.76677,                 0.2941,                0.88884,               0.003202,               0.003202,               0.003202
                    106,                0.99484,                 0.4435,                0.97904,                0.99932,                      1,                  0.995,                0.83288,                0.76617,                0.29407,                0.88853,               0.003136,               0.003136,               0.003136
                    107,                0.99315,                0.44282,                 0.9783,                0.99932,                      1,                  0.995,                0.83337,                0.76484,                0.29397,                0.88807,                0.00307,                0.00307,                0.00307
                    108,                0.99553,                0.44411,                0.97895,                0.99932,                      1,                  0.995,                 0.8331,                0.76431,                0.29394,                0.88783,               0.003004,               0.003004,               0.003004
                    109,                0.99081,                 0.4403,                  0.978,                0.99933,                      1,                  0.995,                0.83329,                0.76326,                0.29388,                0.88754,               0.002938,               0.002938,               0.002938
                    110,                0.99418,                0.44135,                0.97931,                0.99933,                      1,                  0.995,                0.83296,                0.76393,                0.29387,                0.88753,               0.002872,               0.002872,               0.002872
                    111,                 0.9894,                0.43869,                0.97834,                0.99933,                      1,                  0.995,                0.83318,                0.76292,                0.29365,                 0.8872,               0.002806,               0.002806,               0.002806
                    112,                0.98967,                0.43964,                0.97911,                0.99933,                      1,                  0.995,                0.83331,                0.76214,                0.29365,                0.88691,                0.00274,                0.00274,                0.00274
                    113,                0.98846,                0.43916,                0.97621,                0.99932,                      1,                  0.995,                0.83352,                0.76087,                0.29343,                0.88655,               0.002674,               0.002674,               0.002674
                    114,                0.98421,                0.43392,                0.97538,                0.99933,                      1,                  0.995,                0.83365,                0.76045,                0.29311,                0.88642,               0.002608,               0.002608,               0.002608
                    115,                0.98796,                0.43781,                0.97649,                0.99931,                      1,                  0.995,                  0.834,                0.75926,                0.29329,                0.88608,               0.002542,               0.002542,               0.002542
                    116,                0.98758,                0.43663,                0.97813,                0.99931,                      1,                  0.995,                0.83419,                0.75929,                0.29293,                0.88601,               0.002476,               0.002476,               0.002476
                    117,                0.98528,                0.43475,                0.97612,                0.99931,                      1,                  0.995,                0.83407,                0.75884,                0.29291,                0.88586,                0.00241,                0.00241,                0.00241
                    118,                0.98442,                 0.4338,                0.97562,                0.99931,                      1,                  0.995,                0.83368,                0.75934,                0.29298,                0.88591,               0.002344,               0.002344,               0.002344
                    119,                0.98143,                0.43288,                0.97393,                0.99931,                      1,                  0.995,                 0.8342,                0.75866,                0.29314,                 0.8856,               0.002278,               0.002278,               0.002278
                    120,                0.97937,                0.42959,                0.97482,                0.99931,                      1,                  0.995,                0.83402,                0.75888,                0.29315,                0.88555,               0.002212,               0.002212,               0.002212
                    121,                 0.9796,                0.42957,                0.97178,                0.99931,                      1,                  0.995,                0.83408,                0.75872,                0.29328,                0.88538,               0.002146,               0.002146,               0.002146
                    122,                0.97847,                0.42811,                0.97237,                0.99931,                      1,                  0.995,                0.83433,                0.75889,                0.29309,                 0.8854,                0.00208,                0.00208,                0.00208
                    123,                 0.9772,                0.42836,                0.97165,                 0.9993,                      1,                  0.995,                0.83391,                0.75905,                0.29315,                0.88524,               0.002014,               0.002014,               0.002014
                    124,                0.97563,                0.42543,                0.97185,                 0.9993,                      1,                  0.995,                0.83389,                0.75945,                0.29336,                0.88521,               0.001948,               0.001948,               0.001948
                    125,                0.97123,                0.42593,                0.97029,                0.99929,                      1,                  0.995,                0.83424,                0.75889,                0.29335,                0.88488,               0.001882,               0.001882,               0.001882
                    126,                0.97321,                0.42567,                0.97168,                 0.9993,                      1,                  0.995,                0.83436,                0.75895,                0.29328,                0.88474,               0.001816,               0.001816,               0.001816
                    127,                0.97467,                0.42423,                0.97062,                 0.9993,                      1,                  0.995,                 0.8341,                0.75928,                0.29353,                0.88468,                0.00175,                0.00175,                0.00175
                    128,                0.97017,                0.42305,                0.97066,                0.99929,                      1,                  0.995,                0.83407,                0.75915,                0.29353,                0.88457,               0.001684,               0.001684,               0.001684
                    129,                0.97261,                0.42207,                0.97079,                0.99929,                      1,                  0.995,                0.83429,                0.75905,                0.29384,                0.88445,               0.001618,               0.001618,               0.001618
                    130,                0.96949,                0.42036,                0.96986,                0.99929,                      1,                  0.995,                0.83422,                0.75885,                0.29415,                0.88434,               0.001552,               0.001552,               0.001552
                    131,                0.96803,                0.41955,                0.96835,                0.99929,                      1,                  0.995,                 0.8343,                0.75858,                 0.2941,                0.88423,               0.001486,               0.001486,               0.001486
                    132,                0.96508,                0.41818,                0.96872,                0.99929,                      1,                  0.995,                0.83426,                0.75881,                0.29442,                0.88426,                0.00142,                0.00142,                0.00142
                    133,                0.96817,                0.41856,                0.96815,                0.99928,                      1,                  0.995,                 0.8341,                0.75873,                0.29449,                0.88416,               0.001354,               0.001354,               0.001354
                    134,                0.95861,                0.41414,                0.96626,                0.99929,                      1,                  0.995,                0.83426,                0.75867,                0.29468,                0.88405,               0.001288,               0.001288,               0.001288
                    135,                0.96311,                0.41363,                0.96748,                0.99929,                      1,                  0.995,                0.83381,                 0.7589,                0.29421,                0.88396,               0.001222,               0.001222,               0.001222
                    136,                0.95798,                 0.4124,                0.96691,                0.99928,                      1,                  0.995,                0.83419,                0.75891,                0.29409,                0.88379,               0.001156,               0.001156,               0.001156
                    137,                0.96221,                0.41309,                0.96701,                0.99929,                      1,                  0.995,                0.83387,                0.75891,                0.29386,                0.88369,                0.00109,                0.00109,                0.00109
                    138,                 0.9586,                0.41292,                0.96674,                0.99929,                      1,                  0.995,                 0.8342,                0.75905,                0.29414,                0.88369,               0.001024,               0.001024,               0.001024
                    139,                0.95539,                0.40972,                0.96599,                0.99928,                      1,                  0.995,                0.83399,                0.75943,                  0.294,                0.88373,               0.000958,               0.000958,               0.000958
                    140,                0.95384,                0.40684,                0.96427,                0.99929,                      1,                  0.995,                0.83372,                0.76003,                0.29414,                0.88377,               0.000892,               0.000892,               0.000892
                    141,                0.99471,                0.35159,                 1.0363,                0.99929,                      1,                  0.995,                0.83367,                0.76015,                0.29435,                 0.8837,               0.000826,               0.000826,               0.000826
                    142,                0.98682,                0.34842,                 1.0335,                0.99929,                      1,                  0.995,                0.83331,                0.76027,                0.29422,                0.88373,                0.00076,                0.00076,                0.00076
                    143,                0.98389,                0.34691,                 1.0318,                0.99928,                      1,                  0.995,                0.83337,                0.76022,                0.29437,                0.88368,               0.000694,               0.000694,               0.000694
                    144,                0.98171,                0.34563,                 1.0315,                0.99929,                      1,                  0.995,                0.83342,                0.76045,                 0.2943,                0.88363,               0.000628,               0.000628,               0.000628
                    145,                0.97837,                0.34279,                 1.0299,                0.99928,                      1,                  0.995,                 0.8333,                0.76044,                0.29419,                0.88359,               0.000562,               0.000562,               0.000562
                    146,                0.97934,                0.34397,                 1.0314,                0.99929,                      1,                  0.995,                0.83311,                 0.7613,                0.29425,                0.88371,               0.000496,               0.000496,               0.000496
                    147,                 0.9757,                0.34272,                 1.0297,                0.99928,                      1,                  0.995,                0.83315,                0.76191,                0.29423,                0.88379,                0.00043,                0.00043,                0.00043
                    148,                0.96888,                0.33956,                 1.0266,                0.99928,                      1,                  0.995,                0.83298,                0.76204,                0.29423,                0.88373,               0.000364,               0.000364,               0.000364
                    149,                 0.9694,                0.34009,                 1.0251,                0.99929,                      1,                  0.995,                0.83275,                0.76277,                0.29406,                0.88383,               0.000298,               0.000298,               0.000298
                    150,                0.96604,                0.33816,                 1.0225,                0.99928,                      1,                  0.995,                0.83255,                0.76334,                0.29399,                0.88386,               0.000232,               0.000232,               0.000232
