                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0011,                  5.129,                 2.4298,                0.02667,                0.37464,                 0.0298,                 0.0163,                 1.6179,                 3.0961,                 1.3248,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5587,                 3.0996,                 1.2792,                0.20304,                0.52731,                0.24504,                0.15353,                 1.2563,                 2.0716,                 1.1252,              0.0066312,              0.0066312,              0.0066312
                      3,                  1.445,                 2.3503,                 1.1962,                0.50813,                0.78796,                0.63765,                0.34789,                 1.6236,                 1.6549,                 1.2556,              0.0098985,              0.0098985,              0.0098985
                      4,                 1.3916,                 1.6394,                 1.1639,                0.86911,                0.91183,                0.97185,                0.63425,                 1.2903,                0.81938,                 1.1083,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3509,                 1.1832,                  1.142,                0.97461,                0.97781,                0.99349,                0.67488,                 1.2051,                 0.6251,                 1.0651,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3312,                0.99692,                 1.1281,                0.98618,                0.98857,                0.99345,                0.65976,                 1.2842,                 0.5614,                 1.0938,               0.009802,               0.009802,               0.009802
                      7,                 1.3124,                0.87886,                 1.1159,                0.99139,                 0.9957,                0.99457,                0.67387,                 1.2314,                0.52469,                  1.071,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2957,                0.81311,                 1.1107,                0.99652,                0.99707,                 0.9949,                0.66627,                 1.2772,                0.49376,                   1.08,               0.009703,               0.009703,               0.009703
                      9,                 1.2878,                0.77138,                 1.1036,                0.99678,                0.99762,                0.99485,                0.69531,                 1.1767,                0.46042,                 1.0406,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2837,                0.73877,                 1.1004,                0.99656,                0.99683,                0.99487,                0.68029,                 1.2208,                0.46166,                 1.0536,               0.009604,               0.009604,               0.009604
                     11,                 1.2762,                0.71628,                 1.0985,                0.99756,                0.99901,                0.99497,                0.69853,                 1.1866,                0.44703,                 1.0373,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2723,                0.70118,                 1.0951,                0.99814,                0.99929,                  0.995,                 0.6747,                 1.2609,                0.45066,                 1.0581,               0.009505,               0.009505,               0.009505
                     13,                 1.2669,                  0.682,                 1.0907,                0.99819,                0.99887,                  0.995,                0.68025,                 1.2588,                0.44099,                 1.0641,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2651,                0.67289,                 1.0909,                0.99869,                0.99961,                  0.995,                0.68852,                 1.2181,                0.42674,                 1.0439,               0.009406,               0.009406,               0.009406
                     15,                 1.2631,                0.65987,                 1.0921,                0.99858,                0.99909,                  0.995,                0.68614,                 1.2422,                0.42213,                  1.054,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2574,                0.64826,                 1.0881,                0.99828,                0.99938,                  0.995,                0.69786,                 1.2002,                0.41398,                 1.0385,               0.009307,               0.009307,               0.009307
                     17,                 1.2495,                0.63514,                 1.0866,                0.99895,                0.99984,                  0.995,                0.69901,                 1.1998,                0.40731,                 1.0357,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2461,                0.63523,                 1.0821,                0.99869,                0.99944,                  0.995,                0.70514,                 1.1874,                0.40243,                 1.0308,               0.009208,               0.009208,               0.009208
                     19,                  1.246,                0.62337,                 1.0794,                0.99857,                0.99977,                  0.995,                0.71256,                  1.162,                0.39495,                 1.0243,              0.0091585,              0.0091585,              0.0091585
