                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0011,                  5.129,                 2.4298,                0.02667,                0.37464,                 0.0298,                 0.0163,                 1.6179,                 3.0961,                 1.3248,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5594,                 3.1038,                 1.2795,                  0.201,                0.49531,                0.21783,                0.13243,                 1.3124,                 2.1418,                 1.1469,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.4433,                 2.3521,                 1.1953,                0.53825,                0.74273,                0.65474,                0.40051,                 1.4031,                 1.4503,                 1.1504,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.3916,                  1.639,                 1.1637,                 0.9019,                0.92902,                0.97724,                0.61558,                 1.3638,                0.80979,                 1.1334,               0.009703,               0.009703,               0.009703
                      5,                 1.3516,                 1.1798,                  1.142,                0.97982,                0.98405,                0.99373,                0.68159,                 1.1838,                0.60344,                 1.0574,               0.009703,               0.009703,               0.009703
                      6,                 1.3307,                0.98953,                 1.1279,                0.98696,                0.98933,                0.99356,                0.66409,                 1.2757,                0.55154,                 1.0864,               0.009604,               0.009604,               0.009604
                      7,                 1.3124,                 0.8767,                 1.1156,                 0.9916,                0.99344,                0.99466,                0.68693,                 1.1792,                0.51806,                 1.0537,               0.009505,               0.009505,               0.009505
                      8,                 1.2954,                0.81504,                 1.1098,                0.99601,                0.99738,                0.99479,                0.68466,                 1.2156,                0.48894,                 1.0581,               0.009406,               0.009406,               0.009406
                      9,                 1.2882,                0.77297,                 1.1035,                0.99589,                0.99678,                0.99497,                0.67828,                 1.2434,                0.47319,                 1.0613,               0.009307,               0.009307,               0.009307
                     10,                  1.282,                0.73911,                 1.0995,                0.99649,                0.99673,                0.99492,                0.68674,                 1.2023,                0.45927,                 1.0484,               0.009208,               0.009208,               0.009208
                     11,                 1.2749,                  0.714,                 1.0977,                0.99778,                0.99899,                0.99484,                0.69359,                 1.2015,                0.44786,                 1.0442,               0.009109,               0.009109,               0.009109
                     12,                 1.2711,                  0.699,                 1.0941,                0.99809,                0.99915,                0.99499,                0.67325,                  1.261,                0.44959,                 1.0612,                0.00901,                0.00901,                0.00901
                     13,                  1.266,                0.68072,                 1.0895,                0.99813,                0.99852,                0.99493,                0.67603,                 1.2719,                0.44319,                 1.0681,               0.008911,               0.008911,               0.008911
                     14,                 1.2635,                0.66893,                 1.0897,                0.99829,                0.99923,                  0.995,                 0.7084,                 1.1558,                0.41329,                 1.0237,               0.008812,               0.008812,               0.008812
