                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8875,                  6.073,                 3.1503,                0.00907,                0.64413,                0.01215,                0.00379,                 2.3681,                 3.5591,                 1.9365,             5.9622e-05,             5.9622e-05,             5.9622e-05
                      2,                 2.3158,                 3.8861,                 1.8334,                0.04099,                0.36792,                0.04357,                0.02335,                 1.6243,                 2.8717,                 1.3913,             7.9923e-05,             7.9923e-05,             7.9923e-05
                      3,                 1.8924,                 3.2932,                  1.518,                0.06352,                0.21755,                0.06038,                0.03421,                 1.4454,                 2.6603,                 1.2616,             6.0845e-05,             6.0845e-05,             6.0845e-05
